Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID
MIN,RPVCIA-LSA01-001-MIN2523-A1,CDO-MIN1092-AGGFN-X8-01,Eth-Trunk10||GE2/0/6(10G),3595,"1192
2418
2488
2895
3729","136
286
508
513
549
550
551
555
562
563
571
592
599
605
608
611
632
652
653
667
682
683
685
689
695
696
698
699
704
716
719
726
727
728
741
742
743
744
745
748
749
754
760
765
767
771
772
774
786
790
796
803
805
807
809
810
819
832
840
847
863
866
887
888
911
912
914
936
945
949
977
978
982
984
992
993
999
1002
1004
1006
1010
1016
1019
1020
1021
1022
1035
1037
1038
1041
1043
1045
1057
1062
1063
1064
1068
1069
1070
1073
1074
1076
1077
1087
1095
1097
1099
1113
1118
1119
1120
1142
1145
1147
1165
1178
1179
1181
1203
1205
1209
1211
1216
1217
1218
1219
1222
1224
1226
1233
1249
1250
1256
1274
1276
1299
1310
1315
1321
1326
1332
1336
1340
1341
1366
1370
1392
1401
1402
1407
1409
1415
1417
1432
1437
1440
1444
1445
1447
1468
1500
1505
1508
1521
1537
1547
1557
1563
1564
1582
1584
1588
1589
1590
1594
1597
1598
1601
1602
1607
1608
1625
1626
1630
1632
1638
1639
1642
1645
1650
1652
1661
1663
1664
1665
1666
1667
1668
1675
1678
1679
1687
1701
1704
1728
1762
1764
1770
1788
1795
1801
1806
1826
1830
1831
1843
1844
1845
1866
1872
1879
1880
1882
1884
1893
1896
1910
1914
1915
1916
1923
1925
1927
1942
1953
1961
1962
1965
1971
1972
1975
1976
1980
1989
1990
1991
1993
1995
1997
1999
2199
2370
2371
2419
2446
2449
2457
2487
2709
2900
3390
3564
3976",-,-,-,10.175.0.2,10.175.0.7,-,-,-,1192: 3018464|4018464,"136: 3015559|4015559
286: 3018875|4018875
513: 3017431|4017431
549: 3017476|4017476
550: 3018027|4018027
551: 3018029|4018029
555: 3017976|4017976
562: 3017656|4017656
563: 3017923|4017923
571: 3017452|4017452
592: 3017723|4017723
605: 3017978|4017978
608: 3017568|4017568
611: 5000818|6000818
632: 3017558|4017558
652: 3017755|4017755
653: 3017757|4017757
667: 3017990|4017990
682: 3017887|4017887
683: 5000973|6000973
685: 3017889|4017889
689: 3017585|4017585
695: 3018093|4018093
696: 3018054|4018054
698: 3021115|4021115
704: 3018137|4018137
716: 3018087|4018087
719: 3018716
726: 3018089|4018089
727: 3018139|4018139
741: 3017818|4017818
742: 3017972|4017972
743: 3017560|4017560
744: 3017796|4017796
745: 3017798|4017798
748: 3017966|4017966
749: 3017964|4017964
754: 3017721|4017721
760: 3018085|4018085
765: 3017891|4017891
767: 3018083|4018083
771: 3017935|4017935
772: 3017877|4017877
774: 3018112|4018112
786: 3017849|4017849
790: 3017788|4017788
796: 3017960|4017960
803: 3017816|4017816
805: 3017907|4017907
807: 3018173|4018173
809: 3018128|4018128
810: 3017693|4017693
819: 3017544|4017544
832: 3018135|4018135
840: 3017824|4017824
847: 3021127|4021127
866: 3018510|4018510
887: 3017875|4017875
888: 3017695|4017695
911: 3017530|4017530
912: 3021329|4021329
936: 3017803|4017803
945: 3019075|4019075
949: 3017861|4017861
977: 3017570|4017570
978: 3018025|4018025
982: 3018169|4018169
984: 3018116|4018116
992: 3018161|4018161
999: 3017794|4017794
1002: 3016963|4016963
1004: 3017501|4017501
1006: 3017061|4017061
1016: 3018175|4018175
1019: 3017086|4017086
1020: 3017658|4017658
1021: 3019478|4019478
1022: 3020536|4020536
1035: 3015567|4015567
1037: 3017440|4017440
1038: 3017088|4017088
1041: 3017438|4017438
1045: 3016019|4016019
1057: 3017156|4017156
1062: 3015550|4015550
1063: 3016181|4016181
1064: 3017337|4017337
1068: 3016038|4016038
1069: 3017281|4017281
1070: 3016175|4016175
1073: 3017339|4017339
1074: 3017319|4017319
1076: 5000945|6000945
1077: 3017351|4017351
1087: 3017327|4017327
1095: 3017267|4017267
1097: 3017333|4017333
1099: 3017446|4017446
1118: 4016674|3016674
1119: 3016790|4016790
1120: 3015996|4018999
1142: 3016995|4016995
1145: 3016819|4016819
1147: 3016640|4016640
1165: 4016708|3016708
1179: 3017154|4017154
1203: 3017273|4017273
1205: 3021466|4021466
1211: 3016927|4016927
1216: 3016929|4016929
1217: 3016857|4016857
1218: 3016859|4016859
1219: 3016897|4016897
1222: 3016899|4016899
1224: 3016863|4016863
1226: 3016865|4016865
1233: 3016808|4016808
1249: 3017194|4017194
1250: 3015457|4015457
1256: 3016851|4016851
1276: 3016135|4016135
1299: 3017305|4017305
1310: 3017464|4017464
1315: 3015497|4015497
1321: 4016594|3016594
1326: 3016582|4016582
1332: 3017761|4017761
1336: 3017385|4017385
1340: 3017517|4017517
1341: 3015696|4015696
1366: 3016219|4016219
1370: 3017065|4017065
1392: 3017315|4017315
1401: 30010192|40010192
1402: 5000969|6000969
1409: 3017148|4017148
1415: 3017363|4017363
1432: 3017164|4017164
1437: 3016241|4016241
1440: 3016275|4016275
1444: 3021447|4021447
1445: 3016397|4016397
1447: 3016379|4016379
1468: 3016678|4016678
1500: 4017032|3017032
1505: 3015910|4015910
1508: 3017361|4017361
1521: 3015811|4015811
1537: 3016123|4016123
1547: 3017160|4017160
1557: 3015641|4015641
1563: 3016756|4016756
1564: 3016305|4016305
1582: 3016095|4016095
1584: 3016815|4016815
1588: 3016662|4016662
1590: 3016592|4016592
1594: 3017528|4017528
1597: 3016913|4016913
1598: 3028847
1601: 3017325|4017325
1602: 3016692|4016692
1608: 3028623|4028623
1625: 3016179|4016179
1626: 3017349|4017349
1632: 3015680|4015680
1638: 3017037|4017037
1642: 3017215|4017215
1645: 3016780|4016780
1650: 3016999|4016999
1652: 3016289|4016289
1663: 3015956|4015956
1664: 3015958|4015958
1665: 3015960|4015960
1666: 3015962|4015962
1667: 3015964|4015964
1668: 3015966|4015966
1675: 3016903|4016903
1678: 3016231|4016231
1679: 3016233|4016233
1687: 3017170|4017170
1701: 3017276|3027276
1704: 3017409|4017409
1728: 3017309|4017309
1762: 3016837|4016837
1764: 3016295|4016295
1770: 3016201|4016201
1788: 4017317|3017317
1795: 3016593|4016593
1801: 3015463|4015463
1826: 3017043|4017043
1830: 3016259|4016259
1831: 3016375|4016375
1843: 3017921|4017921
1844: 3015647|4015647
1845: 3017041|4017041
1866: 3016503|4016503
1879: 3017307|4017307
1880: 3017226|4017226
1882: 3016215|4016215
1884: 3016727|4016727
1893: 3016839|4016839
1896: 3016873|4016873
1910: 3016263|4016263
1914: 3017205|4017205
1915: 3017421|4017421
1916: 3017627|4017627
1923: 3015849|4015849
1925: 3015615|4015615
1927: 3015611|4015611
1942: 3016287|4016287
1953: 3017166|4017166
1962: 3017174|4017174
1965: 3017207|4017207
1971: 3016088|4016088
1972: 3017005|4017005
1975: 3017059|4017059
1976: 3015748|4015748
1980: 3017013|4017013
1989: 3016153|4016153
1990: 3016151|4016151
1991: 3016680|4016680
1993: 3016155|4016155
1995: 3015878|4015878
2199: 3021489|4021489
2370: 3020763|4020763
2371: 3020720|4020720
2446: 3017499|4017499
2449: 3019515|4019515
2457: 3019320|4019320
2709: 3021435|4021435
3390: 3015372|4021326"
NCR,ANT_707_GPONA_01,ANT_707_TDCAN_910CG_01_SL1450,Eth-Trunk4||GE0/2/5(10G),2784,"1700
2563",1481,400,-,-,10.168.56.188,10.168.56.189,10.198.144.0/22,10.202.100.0/24,3044322|4044322,2563: 3044321|4044321,3044320|4044320
NCR,RDR_001_GPONA_01,RDR_001_TDCAN_910D_01_SL2102,Eth-Trunk4||GE0/2/6(10G)|GE0/2/7(10G),2775,2994,"1987
2995",400,-,-,10.175.105.59,10.175.105.15,100.68.128.0/19,100.113.48.0/21,29010493|28010528,-,"1987: 28010590|29010590
2995: 3053316|4053316"
NCR,MNL_015_VDB_01,MNL_015_TDCAN_T910D_01_NCR7585,Eth-Trunk4||GE0/2/5(10G),3076,"2060
2096",1677,400,-,-,10.198.170.10,10.81.22.18,-,-,3053632|4053632,"2060: 3053633|4053633
2096: 3053629|4053629",3053630|4053630
NCR,MNL_015_VDB_02,MNL_015_TDCAN_T910D_01_NCR7585,Eth-Trunk4||GE0/2/5(10G),3076,"2060
2096",1677,400,-,-,10.198.170.10,10.81.22.18,-,-,3053632|4053632,"2060: 3053633|4053633
2096: 3053629|4053629",3053630|4053630
NCR,ROBTRA-LSA01-001-NCR5065-A1,SANJUAN-NCR1660-AGGFMN-X16A-01,Eth-Trunk6||100GE4/1/0,3989,"2223
2226
2229
2270
2384
2463
2548
2761
2775
3015
3031","581
617
1042
1066
1358
1359
1517
1519
1542
1850
2222
2225
2228
2271
2385
2410
2423
2455
2476
2492
2549
2758
2776
3016
3032",400,-,-,10.175.105.6,-,10.105.188.0/22,10.205.191.0/24,-,-,"581: 3029384
617: 3029383
1042: 3029181|4029181
1066: 3018149
1358: 3025201|4025201
1359: 3025203|4025203
1517: 4025032|3033631
1519: 4025033|3033632
1542: 3025795|4025795
1850: 3050233"
NCR,SMFBPO-LSA01-001-NCR1090-A8,SANJUAN-NCR1660-AGGFMN-X16A-01,Eth-Trunk6||100GE4/1/0,3989,"2223
2226
2229
2270
2384
2463
2548
2761
2775
3015
3031","581
617
1042
1066
1358
1359
1517
1519
1542
1850
2222
2225
2228
2271
2385
2410
2423
2455
2476
2492
2549
2758
2776
3016
3032",400,-,-,10.175.105.6,-,10.105.188.0/22,10.205.191.0/24,-,-,"581: 3029384
617: 3029383
1042: 3029181|4029181
1066: 3018149
1358: 3025201|4025201
1359: 3025203|4025203
1517: 4025032|3033631
1519: 4025033|3033632
1542: 3025795|4025795
1850: 3050233"
NCR,SMKPEL-LSA01-001-NCR6833-A1,SANJUAN-NCR1660-AGGFMN-X16A-01,Eth-Trunk6||100GE4/1/0,3989,"2223
2226
2229
2270
2384
2463
2548
2761
2775
3015
3031","581
617
1042
1066
1358
1359
1517
1519
1542
1850
2222
2225
2228
2271
2385
2410
2423
2455
2476
2492
2549
2758
2776
3016
3032",400,-,-,10.175.105.6,-,10.105.188.0/22,10.205.191.0/24,-,-,"581: 3029384
617: 3029383
1042: 3029181|4029181
1066: 3018149
1358: 3025201|4025201
1359: 3025203|4025203
1517: 4025032|3033631
1519: 4025033|3033632
1542: 3025795|4025795
1850: 3050233"
NCR,STLNTP-LSA01-001-NCR6564-A1,SANJUAN-NCR1660-AGGFMN-X16A-01,Eth-Trunk6||100GE4/1/0,3989,"2223
2226
2229
2270
2384
2463
2548
2761
2775
3015
3031","581
617
1042
1066
1358
1359
1517
1519
1542
1850
2222
2225
2228
2271
2385
2410
2423
2455
2476
2492
2549
2758
2776
3016
3032",400,-,-,10.175.105.6,-,10.105.188.0/22,10.205.191.0/24,-,-,"581: 3029384
617: 3029383
1042: 3029181|4029181
1066: 3018149
1358: 3025201|4025201
1359: 3025203|4025203
1517: 4025032|3033631
1519: 4025033|3033632
1542: 3025795|4025795
1850: 3050233"
NCR,SNJUAN-LSA01-001-NCR1660,SANJUAN-NCR1660-AGGFMN-X16A-01,Eth-Trunk6||100GE4/1/0,3989,"2223
2226
2229
2270
2384
2463
2548
2761
2775
3015
3031","581
617
1042
1066
1358
1359
1517
1519
1542
1850
2222
2225
2228
2271
2385
2410
2423
2455
2476
2492
2549
2758
2776
3016
3032",400,-,-,10.175.105.6,-,10.105.188.0/22,10.205.191.0/24,-,-,"581: 3029384
617: 3029383
1042: 3029181|4029181
1066: 3018149
1358: 3025201|4025201
1359: 3025203|4025203
1517: 4025032|3033631
1519: 4025033|3033632
1542: 3025795|4025795
1850: 3050233"
